replication,financial_cost,quality_loss,extra_staff_hours,ambulance_diversions,high_acuity_waiting_cost,avg_wait_time,avg_utilization
31,832350,10700,0,3,772500,5.404929577464789,0.47183098591549294
32,1002750,11780,0,0,952500,6.546610169491525,0.5466101694915254
33,930750,11300,0,0,881250,6.9140625,0.5625
34,862850,11380,0,1,806250,5.113636363636363,0.4696969696969697
35,957650,11580,0,4,892500,5.783898305084746,0.5211864406779662
36,892000,11920,0,2,828750,6.769230769230769,0.5423076923076923
37,855350,11340,0,1,798750,6.712328767123288,0.5616438356164384
38,864050,11060,0,1,810000,6.286231884057971,0.5362318840579711
39,943550,14140,0,13,825000,5.907258064516129,0.5161290322580645
40,832100,11600,0,1,772500,6.666666666666667,0.5507246376811594
41,943950,11140,0,0,896250,6.856060606060606,0.5568181818181818
42,851800,12360,0,5,772500,6.708333333333333,0.5291666666666667
43,920750,10940,0,1,870000,7.423076923076923,0.5884615384615385
44,889000,12000,0,2,825000,6.612903225806452,0.5443548387096774
45,861200,11160,0,1,806250,5.454545454545454,0.4621212121212121
46,894550,12780,0,5,813750,7.380952380952381,0.5833333333333334
47,888600,11440,0,0,836250,6.706081081081081,0.543918918918919
48,1080150,12980,0,0,1023750,7.009803921568627,0.553921568627451
49,976700,12680,0,4,903750,6.5625,0.53125
50,887050,11740,0,2,825000,6.753731343283582,0.5671641791044776
51,835300,12040,0,2,768750,7.21830985915493,0.573943661971831
52,923850,11380,0,3,862500,6.270161290322581,0.5241935483870968
53,965950,14220,0,11,855000,6.788793103448276,0.5474137931034483
54,878850,12100,0,3,810000,5.362903225806452,0.4717741935483871
55,921200,12440,0,1,858750,6.599264705882353,0.5441176470588235
56,816150,10940,0,3,753750,6.9006849315068495,0.565068493150685
57,858750,10820,0,0,810000,6.25,0.5381944444444444
58,751950,10500,0,0,701250,6.188271604938271,0.5339506172839507
59,780750,10980,0,0,727500,6.233552631578948,0.5493421052631579
60,858300,11720,0,0,802500,6.196428571428571,0.525
61,892850,13020,0,4,813750,6.03515625,0.49609375
62,831650,11060,0,1,776250,6.063432835820896,0.5335820895522388
63,941500,12840,0,8,851250,6.574074074074074,0.5185185185185185
64,835100,11520,0,1,776250,5.9423076923076925,0.5192307692307693
65,901650,11260,0,0,851250,6.267857142857143,0.5392857142857143
66,870000,11880,0,3,802500,7.049180327868853,0.5614754098360656
67,799750,12100,0,2,731250,6.25,0.5144927536231884
68,910550,11980,0,1,851250,7.439516129032258,0.5725806451612904
69,809000,11400,0,1,750000,5.873287671232877,0.5034246575342466
70,911600,12640,0,4,836250,6.170634920634921,0.5238095238095238
71,898650,13460,0,15,776250,6.029411764705882,0.5220588235294118
72,931350,11860,0,0,877500,6.008064516129032,0.4959677419354839
73,1020800,13240,0,1,956250,6.600877192982456,0.543859649122807
74,854150,12140,0,1,791250,6.079545454545454,0.5265151515151515
75,869250,11260,0,0,817500,5.703125,0.48828125
76,971050,12380,0,2,907500,5.967741935483871,0.5201612903225806
77,884700,13400,0,6,795000,5.643382352941177,0.5
78,912950,12820,0,4,836250,7.439516129032258,0.5725806451612904
79,860400,11040,0,0,810000,6.100746268656716,0.5149253731343284
80,903800,13080,0,7,813750,6.745689655172414,0.5387931034482759
81,917850,11980,0,0,862500,6.451612903225806,0.5201612903225806
82,871050,11980,0,0,813750,7.147887323943662,0.573943661971831
83,945700,13400,0,8,851250,5.348360655737705,0.4713114754098361
84,890000,11160,0,1,836250,6.884057971014493,0.5398550724637681
85,1023550,12700,0,5,948750,6.311475409836065,0.5327868852459017
86,862450,10860,0,2,806250,5.928030303030303,0.5151515151515151
87,1018750,12580,0,8,933750,6.318181818181818,0.5181818181818182
88,817350,11060,0,0,765000,7.116666666666666,0.58
89,976800,12160,0,0,922500,7.28515625,0.578125
90,973000,11680,0,2,915000,7.5423728813559325,0.5889830508474576
91,890900,11760,0,1,832500,6.666666666666667,0.5416666666666666
92,869750,12300,0,1,806250,6.268939393939394,0.5416666666666666
93,893950,11700,0,2,832500,5.423728813559322,0.4576271186440678
94,975400,13000,0,5,896250,7.235576923076923,0.5528846153846154
95,947750,12140,0,1,888750,6.349206349206349,0.5515873015873016
96,1018350,14540,0,15,892500,6.377118644067797,0.5296610169491526
97,788300,11040,0,1,731250,6.818181818181818,0.5616883116883117
98,797100,11240,0,0,742500,6.1824324324324325,0.5337837837837838
99,818050,11180,0,2,757500,6.285211267605634,0.5
100,845300,10960,0,1,791250,6.319444444444445,0.5347222222222222
